Career Name,Career Industry,Career Image,Edited for language level and succinctness,Job Description UPDATED,Job Description (updated to left),Task 1,Task 2,Task 3,Job Tasks (expanded to left),Subspecialties,Traits 1,Traits 2,Traits 3,"Traits 4 (physical req's, etc.)",Personality Traits,Median Pay per Year,Median Pay per Hour,Number of Open Jobs in Austin every year,Hours,Pros,Cons,Possible Career Paths,Open to People with Criminal Record,Training Services,Done filling out all training programs?,Myth Debunked or Fun Fact,Associated Licenses,All Content Done and Double-Checked by Mary Hannah
Dental Assistant,Healthcare,"dentalasst3.JPG (https://dl.airtable.com/rjHgkKMT67mFuZhZQsYA_dentalasst3.JPG),dentalasst2.JPG (https://dl.airtable.com/JL0ajPmBQVWbOYYovCTb_dentalasst2.JPG),dentalasst1.JPG (https://dl.airtable.com/QhuAYH7OQDOJAcTK2okU_dentalasst1.JPG)",checked,"You will get patients ready, fill out paperwork, and help the other staff.","EDIT:
Prepare patient for treatment, set up equipment, and keep records.",Get patients ready and talk to them,Fill out paperwork,Help out dentist and dental hygienist,"EDIT:
Work with patient. Prepare and set up materials. Record treatment information.

Prepare patient, sterilize or disinfect instruments, set up instrument trays, prepare materials, or assist dentist during dental procedures. Record treatment information in patient records. Expose dental diagnostic x-rays.

",,Enjoy working with people,Good at keeping records and paperwork,,,"EDIT: 
People interested in this career like activities that include working with people, data, detail, and regular routines.","$35,358.00",$16.83,656,"standard daytime work hours,easy to be part-time","EDIT:
Many job openings. Short training program. Good advancement opportunities.


very short training program, lots of jobs, variety of duties, good advancement opportunities, work with people
","EDIT:
May work in uncomfortable positions when cleaning teeth. Body fluid clean up.

sit in awkward positions to treat patients, bodily fluid cleanup
",Dental Hygienist,Have to apply to licensing board for special permission,"Texas State: Dental Assistant,Austin Dental Assistant School ,ACC: Dental Assistant Program,Star of Texas Dental Assistant School,RDA Training Academy,Austin Dental Careers",yes,,,no
Dental Hygienist,Healthcare,"hygienist3.jpg (https://dl.airtable.com/LmWmTbWwRUOmkrPw37nc_hygienist3.jpg),hygienist1.jpg (https://dl.airtable.com/0G9yLXhoTCugh2cV8jAe_hygienist1.jpg),hygienist2.JPG (https://dl.airtable.com/cInckls8TJmGH5QKFt0s_hygienist2.JPG)",checked,"You will take x-rays, clean teeth, and work closely with the dentist.","EDIT:
Examine and clean teeth. Take x-rays and check for signs of disease.  Teach patients about oral hygiene. 

Clean teeth and examine the mouth, head, and neck for signs of disease. May educate patients on teeth cleaning, take and develop x-rays, or apply fluoride or sealants.
",Take x-rays and get patients ready,Clean teeth and gums,Help out dentist,"EDIT:
Interact with patients. Record and review medical histories. Use tools to examine and clean teeth.

Clean gunk and stains from teeth and beneath the margins of the gums using dental instruments. Record and review patient medical histories.  Examine gums, using probes to locate signs of gum disease.
",,,,,,"EDIT: (to match Dental Assistant description)

People interested in this career like activities that include working with people, data, detail, and regular routines.

People interested in this work like activities that include helping people, teaching, and talking.
","$68,893.00",$32.69,352,"standard daytime work hours,easy to be part-time","EDIT:
Helping people. Many job openings. Flexible hours.

lots of jobs, getting to talk with patients and help people, very flexible hours
","EDIT: (to match dental hygienist)

May work in uncomfortable positions when cleaning teeth. Body fluid clean up.



can be repetitive, sitting in awkward positions to treat patients that can lead to back pain and wrist injuries, dealing with bodily fluids,  many jobs don't give benefits

(question about no benefits...average salary $70,000...no benefits??)
","Dentist,Dental Office Manager",No,ACC: Dental Hygiene Associate of Applied Science,yes,,,no
Diagnostic Medical Sonographers,Healthcare,"sonographer3.JPG (https://dl.airtable.com/QaWdSdUoQHbDlkvGOcYw_sonographer3.JPG),sonographer2.jpg (https://dl.airtable.com/az7EEIDfTlOYU7C4Gjxl_sonographer2.jpg),sonographer1.jpg (https://dl.airtable.com/Y5RmjSkFTdSCpok3LRur_sonographer1.jpg)",checked,You will use a sonograph to look inside patients' bodies and make images of different parts. ,"EDIT: Perform ultrasounds of internal organs.


Make ultrasounds of internal organs for use by doctors.",Get patients ready for sonograms,Use equipment to make good sonogram images,Give results to the doctor,"EDIT:
Interact with patients throughout the examination. Make adjustments to take a good image. Provide results and summary to the doctor.


Adjust the machine settings during the scan to take a good image. Care for patients throughout examinations. Provide the sonogram and a summary of what you found to the doctor.

",,,,,,"EDIT:
People interested in this career enjoy working with people, are comfortable with technology, and are detail-oriented.


People interested in this work like activities that include figuring things out and meeting and helping people in person. 
","$63,000.00",$30.29,98,"hours could be regular or irregular depending on where you work,standard daytime work hours,nights,weekends,holidays","EDIT:
Helping people. Variety of work settings. Many opportunities for specialization.

helping people get better, seeing fetuses, lots of one-on-one with patients, many specialties to choose from","EDIT:
Often on your feet. Moving heavy equipment. Patients may be in difficult positions or situations.

on your feet most of the day, having to move heavy, disabled patients, a lot of administrative tasks",Diagnostic Imaging Manager,,"ACC: Diagnostic Medical Sonographer,Virginia College: Diagnostic Medical Sonographer",partly,,,no
Emergency Medical Technician,Healthcare,"EMT3.JPG (https://dl.airtable.com/D5gkXZBKTYyYyFRCgLJq_EMT3.JPG),EMT2.jpg (https://dl.airtable.com/rDncY3wZTGWfD2usmrgU_EMT2.jpg),EMT1.JPG (https://dl.airtable.com/0ADICZdxTq6q9MD15Ijy_EMT1.JPG)",checked,"You will help out fire fighters and paramedics by giving basic medical care, taking care of equipment, and driving ambulances.","EDIT:
Assess injuries. Give basic emergency medical care. Transport patients to hospitals.


Assess injuries, give emergency medical care, and rescue trapped people. Transport injured or sick people to hospitals.",Give basic medical care,Keep patients safe and calm,Move patients and drive ambulance,"EDIT:
Give basic medical treatments. Keep patients safe and calm. Move patients. Drive ambulance.

Give CPR and oxygen. Give treatments for asthma attacks or allergic reactions. Mostly EMTs are not allowed to give treatments that break the skin (no needles).",none,,,,,"EDIT:
People interested in this career enjoy helping people, are flexible, and like working a variety of locations.

People interested in this work like activities that include helping people, teaching, and talking.","$31,335.00",$14.90,,12-24 hour shifts,"EDIT:
Every day can be different. Lots of physical activity. Helping to save lives.

every day is different, job security, saving lives, getting to be physically active","EDIT:
No normal routine. Potential danger from bodily fluids. Often physically demanding. Working conditions can be uncomfortable or dangerous.

lower pay compared to other health industry jobs, stress, potential danger, bodily fluids, lots of lifting heavy weights and time on your feet, long shifts","Paramedic,Licensed Practical and Licensed Vocational Nurse,Doctor,Firefighter","Have to apply to licensing board for special permission,No murder ,No being a registered sex offender,No drug crimes involving a child,No aggravated kidnapping,No aggravated robbery","LifeStart EMT Course,ACC: Advanced EMT Level I Certificate,National EMS Academy,EMTS Academy,Oak Hill Fire Dept.: EMT Academy,RC Health Services",partly,,,no
Paramedic,Healthcare,"Paramedic3.jpg (https://dl.airtable.com/AYdduvVzQ2GcO6iQ00M1_Paramedic3.jpg),Paramedic2.jpg (https://dl.airtable.com/Zy7Os1LIQ9y34Nm7s1xG_Paramedic2.jpg),Paramedic1.JPG (https://dl.airtable.com/D00LYG7AQOfeth4K2UXl_Paramedic1.JPG)",checked,You will be the first person to give emergency care. You will take care of patients on their way to the hospital. This is level that comes after EMT.,"EDIT:
Assess injuries. Give advanced emergency medical care. Transport patients to hospitals.

This is the next level up from being an EMT. Paramedics assess injuries, give emergency medical care, and rescue trapped individuals. They transport injured or sick people to hospitals.",Give advanced medical treatment,Give medicines and start IVs,Talk to doctor and take orders for treatment,"EDIT:
Give advanced medical treatment. Give medications and start IVs. Monitor patient and communicate with doctors. Drive ambulance.

Give medications, start IVs, help patients with serious problems such as heart attacks and major injuries.",none,,,,,"EDIT:
People interested in this career enjoy helping people, are flexible, and like working a variety of locations.

People interested in this work like activities that include helping people, teaching, and talking.","$40,995.00",$19.23,,12-24 hour shifts,"EDIT:
Every day can be different. Lots of physical activity. Helping to save lives.


every day is different, job security, saving lives, getting to be physically active","EDIT:
No normal routine. Potential danger from bodily fluids. Often physically demanding. Working conditions can be uncomfortable or dangerous.


lower pay compared to other health industry jobs, stress, potential danger, bodily fluids, lots of lifting heavy weights and time on your feet, long shifts","Registered Nurse,Licensed Practical and Licensed Vocational Nurse,Doctor,Firefighter","Have to apply to licensing board for special permission,No murder ,No being a registered sex offender,No drug crimes involving a child,No aggravated kidnapping,No aggravated robbery","ACC: Advanced EMT Level II Certificate,EMTS Academy,National EMS Academy",partly,,,no
Licensed Practical and Licensed Vocational Nurse,Healthcare,"LPN2.JPG (https://dl.airtable.com/dwekIUIrSOG2DhR2W6nj_LPN2.JPG),LPN3.jpg (https://dl.airtable.com/CESSYpl1QOWbOYEWWFGF_LPN3.jpg),LVN1.JPG (https://dl.airtable.com/xlYhvsyCQ86rOyoM3szt_LVN1.JPG),LPN1.JPG (https://dl.airtable.com/SreAuD4CSU2ghgJvxdOP_LPN1.JPG)",checked,You will give basic care to patients while helping the other medical staff. This is the level of nursing that comes after Certified Nursing Assistant.,"EDIT:
Provide basic care for sick or injured patients. Assist people with disabilities. Support registered nursing staff and doctors. 

Care for ill or injured patients or people with disabilities in hospitals, nursing homes, clinics, or private homes. ",Watch patients and give them treatment,Give patients their medicine,Help the registered nurses and doctors as needed,"EDIT:
Administer medicine. Watch patients and check their health. Assist patients with many of their needs.

Administer medicine, watch patients carefully and help them",,,,,,"EDIT:
People interested in this career enjoy helping people, are dependable, have a strong attention to detail, and are comfortable moving around throughout the day.

People interested in this work like activities that include helping people, teaching, and talking. Attention to detail, dependability, integrity, self-control, stress tolerance, concern for others","$48,942.00",$24.47,1037,"hours could be regular or irregular depending on where you work,standard daytime work hours,nights,holidays,weekends,easy to be part-time,12 hour shifts","EDIT:
Helping people. Many job openings. Part-time or full-time options. Opportunities for advancement through certification.

giving one-on-one help to people, easy to be part-time or full-time, lots of different specializations","EDIT:
Often on your feet. Patients can be mean or dangerous. Exposure to bodily fluids. Some positions require rotating shifts or holiday work.

dealing with bodily fluids, can be stressful, some patients are rude, some positions involve working nights, weekends, and holidays","Registered Nurse,Nurse Practitioner",Have to apply to licensing board for special permission,"ACC: Vocational Nursing Department,Cybertex Institute of Technology: Vocational Nursing Program - Standard VN Track,Cybertex Institute of Technology: Vocational Nursing Program - Medical Assistant to VN Track",partly,,,no
Medical and Clinical Laboratory Technician,Healthcare,"LabTech1.JPG (https://dl.airtable.com/HnnrBKNQiKQFxjzW2LnN_LabTech1.JPG),LabTech5.JPG (https://dl.airtable.com/iOTELKdTTXWznra8o1u7_LabTech5.JPG),LabTech3.jpg (https://dl.airtable.com/SWDWcAelSVi7L0JZdSaa_LabTech3.jpg),LabTech4.jpg (https://dl.airtable.com/Uz3S8wDCTfWA1Oo3hWTU_LabTech4.jpg)",checked,You will test blood and other body fluids for signs of disease or problems.,"EDIT:
Perform medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist.","Set up, clean, and fix equipment",Perform many different kinds of lab tests,Give important information to medical staff,"EDIT:
Operate advanced medical lab equipment. Analyze results. Communicate important information to medical staff. Set up, clean, and maintain  equipment.

Do chemical tests of body fluids using a microscope or analyzer to detect diseases. Analyze the results of tests or experiments. Set up, clean, and maintain medical lab equipment.",,,,,,"EDIT:
People interested in this career enjoy working with tools and equipment, are detail oriented, and are comfortable around bodily fluids.

People interested in this work like activities that include practical, hands-on problems and solutions.","$33,217.00",$16.60,259,"hours could be regular or irregular depending on where you work,standard daytime work hours,nights,weekends,holidays","EDIT:
Helping people without seeing patients. Many different work places and job types. Good opportunities for advancement through certification.

Helping people without having to deal with annoying patients, lots of subspecialties, good opportunities for promotions","EDIT:
Often on your feet. Working with dangerous bodily fluids. Not very social. No room for mistakes.

not very social, working with dangerous bodily fluids, long hours of standing and intense concentration","Medical Laboratory Technologist,Lab Director",,,,,,no
Medical Secretary,Healthcare,,checked,You will help run a doctor's or hospital's office.,"EDIT:
Perform secretary duties in a medical setting.

Perform secretary duties using medical language and hospital, clinic, or lab procedures. Duties may include scheduling appointments, billing patients, and recording medical reports and messages.",Use medical language in all tasks,Schedule appointments and help patients,Keep up with all the information in a doctor's office,"EDIT:
Use medical language and procedures in all tasks. Schedule appointments. Prepare reports, financial statements, letters, or medical records.


Answer telephones and direct calls to appropriate staff. Schedule and confirm patient appointments. Use computer programs to prepare reports, financial statements, letters, or medical records.

duties using medical language and hospital, clinic, or lab procedures. Duties may include scheduling appointments, billing patients, and recording medical reports and messages.",,,,,,"EDIT:
People interested in this career are detail oriented, good with computers and people, and prefer regular routines.

People interested in this work like activities that include data, detail,and regular routines.","$38,125.00",$18.27,742,"standard daytime work hours,easy to be part-time,hours could be regular or irregular depending on where you work","EDIT:
Opportunity to interact with many people. Comfortable work environment. Regular work hours and routine.

friendly, noncompetitive environment, no heavy labor","EDIT:
Routine and repetitive tasks. Limited physical activity. Not much opportunity for advancement.

every day is pretty similar, not a lot of moving around during the day","Medical Records and Health Information Technician,Medical Office Manager",,,,,,no
Certified Nursing Assistant,Healthcare,"CNA1.JPG (https://dl.airtable.com/MFKEyYATiGXRzJcOdXlg_CNA1.JPG),CNA2.jpg (https://dl.airtable.com/a8Rxddo3S3GNzKGW6PIy_CNA2.jpg),CNA3.jpg (https://dl.airtable.com/NGzTkZYFTaeuuQbhz2qF_CNA3.jpg)",checked,You will care for patients and help the other medical staff. This is most basic level of nursing.,"EDIT:
Assist lead nursing staff in caring for patients.

Provide care for patients and assure patients are bathed, dressed, fed, etc. Assist bedridden patients, collect patient information and review patients food allergies or preferences. Collect vital signs.","Serve patients meals, feed, and bathe them",Clean equipment and room,Help the other nurses as needed,"EDIT:
Interact with patients. Serve meals, feed, and bathe patients. Clean equipment and rooms. Assist other nursing staff as needed.

Set up medical equipment and help with procedures. Take patients vitals. Serve meals, feed, bathe patients. Clean the patients room and make the beds. Pay attention to any calls for help and observe patients behavior.
(from description)Provide care for patients and assure patients are bathed, dressed, fed, etc. Assist bedridden patients, collect patient information and review patients food allergies or preferences. Collect vital signs.",,,,,,"EDIT:
People interested in this career enjoy helping others, have a strong work ethic, and are comfortable around bodily fluids.

patient, emotionally stable, have a strong work ethic, and a tolerance for Squeamish duties.","$31,692.00",$11.63,1746,"mornings,evenings,nights,hours could be regular or irregular depending on where you work","EDIT:
Many job openings. Short training program. Many opportunities for advancement through certification.


Short training. Job opportunities. Easy career to enter.","EDIT:
Physically and emotionally demanding. Exposure to bodily fluids. Can require shift and holiday work.

Pay. Stressful, Physically and emotionally demanding. Around lots of bodily fluids.",Certified Nursing Assistant,,"ACC: Certified Nurse Aide,Goodwill Central Texas: Career Academy,Rosy Health Care Services: Nurse Aide Training Program,Central Texas Nurse Network,Healthcare Career Centers Inc. ,Skillpoint Alliance: CNA program,EZE Learning Center for Healthcare Professionals",partly,,CNA Certification,no
Medical Assistant,Healthcare,"MA2.JPG (https://dl.airtable.com/nkDbhFqTTZaUlT47pLv4_MA2.JPG),MA3.JPG (https://dl.airtable.com/Bj59W3O7TZiNkKgVipDJ_MA3.JPG),MA1.JPG (https://dl.airtable.com/pBYa9XF8SSuqXFd1zPgS_MA1.JPG)",checked,You will help care for patients and take care of equipment and supplies.,"EDIT:
Assist medical staff with patient care.

Clean and prepare treatment rooms for the patients. Show patients to their rooms. Record and view patients medical history. Record patients height, weight, vital signs and other medical information. Gather, log and prepare lab specimens.",Talk to patients and help them,Clean and prepare rooms and equipment,Write down patient information and help with blood and other samples,"EDIT:
Verify patient information. Clean and prepare treatment rooms. Record vital signs and medical information. Gather, log, and prepare lab specimens.


Verify patient information. Perform any physical tasks such as taking blood pressure/ recording other vital signs. Keep supplies ready and operating. Schedule surgeries, create charts. Communicate with Physician.
from description: Clean and prepare treatment rooms for the patients. Show patients to their rooms. Record and view patients medical history. Record patients height, weight, vital signs and other medical information. Gather, log and prepare lab specimens.",,,,,,"EDIT:
People interested in this career are detail oriented, flexible, and capable of problem-solving.

People interested in this work are detail oriented, adaptable, capable of problem-solving, and empathic.","$30,400.00",$15.20,1069,"hours could be regular or irregular depending on where you work,evenings,mornings,weekdays,weekends","EDIT:
Helping people. Variety of job tasks. Short training.

Job protection. Variety of job tasks. Experiment with new technology. Short training.","EDIT:
Limited responsibilities. Low pay rate for the medical field.

Low compensation. Restricted job responsibilities.",Medical Assistant,,,partly,,Medical Assistant Certification. Registered Medical Assistant. ,no
